from,to,weight
0,50,10
0,1,10
1,50,10
3,54,5
3,33,10
3,50,5
3,30,10
10,3,10
4,30,5
4,3,5
4,2,5
4,23,5
4,0,5
5,71,10
5,69,10
5,95,10
5,92,10
5,70,10
5,91,10
5,59,10
5,60,5
5,68,10
5,89,5
5,88,10
5,74,10
5,77,5
5,78,5
5,75,10
5,85,10
5,80,10
5,16,5
5,87,10
5,82,10
5,72,10
5,86,10
5,73,10
5,83,10
5,37,5
5,66,5
5,84,10
5,79,10
5,81,10
5,58,10
5,57,5
5,62,5
5,3,5
5,44,5
5,26,5
5,20,5
5,6,5
26,6,10
6,2,5
10,6,10
6,50,5
6,66,5
6,20,5
6,23,5
6,0,5
36,6,10
6,19,5
31,6,10
6,30,5
25,6,10
6,3,5
7,48,5
7,3,5
7,2,5
7,6,5
7,23,5
8,1,5
8,54,5
8,13,5
27,8,10
8,14,5
8,2,5
8,9,10
9,44,5
34,9,10
10,1,5
10,54,5
10,19,5
10,4,5
10,20,5
10,48,5
10,42,5
10,31,10
10,26,10
10,37,10
10,36,10
10,35,5
10,2,5
10,25,10
10,23,5
10,30,5
12,24,5
12,14,5
14,1,5
14,50,5
15,40,5
15,51,5
15,13,5
15,28,10
15,39,10
16,97,10
16,65,10
16,30,5
16,54,5
16,76,10
16,51,5
16,62,10
16,66,10
16,19,5
16,60,5
16,2,5
16,0,5
16,23,5
17,23,5
17,50,5
20,30,10
21,48,5
21,3,5
21,2,5
21,23,5
22,41,10
22,18,5
25,2,5
25,48,5
25,30,5
25,23,5
25,37,10
25,36,10
25,26,10
25,31,10
25,3,5
26,65,10
26,16,5
26,31,10
26,95,10
26,44,10
26,77,10
26,57,5
27,55,10
27,97,10
27,9,5
27,30,5
27,3,5
27,4,5
27,21,5
28,39,10
28,40,10
29,53,10
29,56,10
29,54,5
30,1,5
30,54,5
30,0,5
31,54,5
31,50,5
31,37,10
31,35,10
31,30,5
31,4,5
31,48,5
31,33,5
31,23,5
31,36,10
31,19,5
31,9,5
31,20,5
31,0,5
31,3,5
31,2,5
32,51,5
32,1,5
32,50,5
32,0,5
33,54,5
33,48,5
33,23,5
33,2,5
33,30,5
34,1,5
34,57,5
34,44,5
34,0,5
34,8,5
34,30,5
37,66,10
37,48,5
37,2,5
37,23,5
37,51,5
37,4,5
37,26,5
37,6,5
38,1,5
38,0,5
38,4,5
38,35,5
38,3,5
38,49,5
39,50,5
39,0,5
39,40,5
40,13,5
41,20,5
41,51,5
41,23,5
41,48,5
41,10,5
41,31,5
41,42,10
41,18,5
41,4,5
41,19,5
41,43,5
41,50,5
41,3,5
42,3,5
42,48,5
42,30,5
42,2,5
42,23,5
42,6,5
42,4,5
44,95,10
44,77,10
44,57,10
