id,handle,followers_count,friends_count,isProxy
0,"BarackObama",133313881,573109,0
1,"JoeBiden",36314871,47,0
2,"derspiegel",3102254,353,0
3,"tagesschau",3886448,323,0
4,"handelsblatt",372984,694,0
5,"IAmChrisVogt",130,586,0
6,"StZ_NEWS",139070,1030,0
7,"SolitudeNetwork",1662,471,0
8,"DanielNeuen",4411,1715,0
9,"zerfass",3296,206,0
10,"SWRAktuellBW",85791,817,0
11,"stefanlongin",12,15,0
12,"PRDaily",115871,5994,0
13,"MarketingWeekEd",247424,703,0
14,"PRNews",177791,44458,0
15,"Theo_Tzanidis",1862,3489,0
16,"memplexx",1790,4798,0
17,"zammagazine",2146,2824,0
18,"BoschSecurityEU",10817,325,0
19,"zeitonline_dig",69435,21,0
20,"DFB_Team",3283529,239,0
21,"uni_mainz",14158,980,0
22,"dynacord_com",1321,1443,0
23,"SZ",1874484,275,0
24,"PRDailyNews",68472,2,0
25,"stuttgart_stadt",38278,223,0
26,"hdm_stgt",4252,52,0
27,"kommoguntia",1035,523,0
28,"UniWestScotland",24447,1214,0
29,"brownie8x",24,46,0
30,"RegSprecherStS",975225,157,0
31,"RegierungBW",94620,1295,0
32,"FinnHarries",1732772,453,0
33,"AnneWillTalk",82360,771,0
34,"Hoffjann",251,185,0
35,"online_MM",9047,103,0
36,"PP_Stuttgart",92984,102,0
37,"StartupStgt",3319,1027,0
38,"MaxNetzer",3,40,0
39,"NonPitt",886,529,0
40,"UWSMarketing",1233,81,0
41,"RueckertTanja",6785,664,0
42,"BoschPresse",26088,820,0
43,"IoTNewsletter",13146,14,0
44,"sandhu_hdm",561,13,0
45,"PaulineDomH",362,238,0
46,"cuttersmike",22,97,0
47,"alr643",10,122,0
48,"ZDFheute",1000485,326,0
49,"MelanieBMis",58,58,0
50,"HillaryClinton",31659085,991,0
51,"tim_cook",13740808,70,0
52,"maaren_x",7,120,0
53,"Michellee_898",4,4,0
54,"c_drosten",1005653,161,0
55,"BarzMax",183,186,0
56,"noradenner9",205,203,0
57,"pr_parcours",447,5,0
58,"23_MargaritaF",65,153,0
59,"ValentinaKress",143,148,0
60,"MarvinGraewert",227,302,0
61,"aaronwoerz",438,1995,0
62,"MalinZeuchner",60,79,0
63,"7_maita",68,234,0
64,"flrnsplls",6,105,0
65,"horads",121,118,0
66,"Ideenwerkbw",1840,1273,0
67,"berit_die",584,507,0
68,"anuschatz",89,376,0
69,"katja_sta",22,83,0
70,"AndreasWelss",18,41,0
71,"katharina_ste",147,412,0
72,"sabrinahoebel",301,627,0
73,"goetz_sina",82,446,0
74,"unboundedam",76,59,0
75,"nikokappel_",388,289,0
76,"fraugoldklee",137,641,0
77,"hdm_praktisch",222,28,0
78,"granzowemden",32,76,0
79,"alinaschreibt",148,430,0
80,"SavannahBlank",25,55,0
81,"MeinSonnensegel",37,66,0
82,"la024HdM",61,150,0
83,"simonwoerz",554,1378,0
84,"Laho___",160,574,0
85,"helene_dann",13,51,0
86,"breiteli",40,70,0
87,"Luke_Z04",50,339,0
88,"Callmejanusz",37,180,0
89,"anna_elhi412",43,242,0
90,"ElianeWikert",4,31,0
91,"cestlepapillon",22,77,0
92,"AnnaMRelle",48,58,0
93,"el_merkle",23,26,0
94,"caroniebo",290,836,0
95,"hdm_crpr",211,55,0
96,"isforflowers",53,439,0
97,"pressemonitor",4022,2340,0
