source,target,weight
0,34,10
0,39,10
0,6,5
0,51,10
0,28,10
0,29,5
0,49,5
0,37,10
0,48,5
0,38,10
0,41,10
0,42,5
0,47,10
0,43,10
0,12,5
0,31,10
0,46,10
0,40,10
0,45,10
0,23,10
0,16,5
0,20,5
0,15,5
0,9,5
0,1,5
0,2,5
1,9,10
1,17,10
1,11,10
1,8,10
1,4,10
1,2,5
11,2,10
2,4,10
2,9,10
2,8,10
3,1,5
3,6,5
3,21,5
3,15,5
14,3,10
3,9,5
3,20,5
4,6,10
18,4,10
17,4,10
4,9,10
11,4,10
4,8,10
17,6,10
12,6,10
36,6,10
13,6,10
6,20,5
6,15,5
6,11,5
6,9,10
18,8,10
8,9,10
11,8,10
11,9,10
15,9,10
42,9,10
9,20,5
49,9,10
22,9,10
36,9,10
18,9,10
12,17,10
12,55,10
12,34,10
12,33,5
12,41,10
12,11,5
14,41,10
14,44,10
14,12,5
14,21,5
14,8,5
15,17,10
15,42,10
15,20,10
16,44,10
16,8,5
16,55,5
16,46,10
16,11,5
16,2,5
16,1,5
16,45,10
16,6,5
16,33,5
16,34,10
16,29,10
16,9,5
16,28,10
16,15,5
16,20,5
17,42,5
17,55,5
17,9,5
17,18,10
18,1,5
18,11,5
18,2,5
19,21,5
19,9,5
19,20,5
20,55,10
20,49,10
20,42,5
22,2,5
22,1,5
23,14,5
23,52,5
23,55,5
23,33,5
23,6,5
23,28,5
23,51,10
23,49,5
23,39,10
23,41,10
23,48,5
23,38,10
23,45,10
23,47,10
23,31,10
23,37,10
23,40,10
23,46,10
23,43,10
23,42,5
23,20,5
23,1,5
23,15,5
23,9,5
24,49,5
24,42,5
24,30,10
24,29,5
24,8,5
24,6,5
24,21,5
24,15,5
24,16,5
24,25,10
24,27,10
24,28,10
24,20,5
24,9,5
25,26,10
25,42,5
25,27,10
25,28,10
25,9,5
25,15,5
25,20,5
26,34,5
26,42,5
26,6,5
26,1,5
26,2,5
26,8,5
26,9,5
26,27,10
26,30,10
26,29,5
26,20,5
27,40,10
27,49,5
27,42,5
27,30,10
27,15,5
27,29,5
27,6,5
27,9,5
27,28,10
27,20,5
28,44,10
28,12,5
28,33,5
28,37,10
28,55,5
28,40,10
28,48,5
28,46,5
28,43,10
28,30,10
28,41,10
28,45,10
28,11,5
28,6,5
28,29,10
