id,handle,followers_count,friends_count,isProxy
0,"IAmChrisVogt",130,588,0
1,"StZ_NEWS",139345,1030,0
2,"StN_News",43447,2564,0
3,"MarciaJulia",51,144,0
4,"Uni_Stuttgart",12176,1324,0
5,"ACJIndia",6763,635,0
6,"datenreiserecht",2482,2265,0
7,"dmjx",4725,465,0
8,"stuttgart_stadt",38434,223,0
9,"hdm_stgt",4262,53,0
10,"HvA",7356,950,0
11,"RegierungBW",95003,1295,0
12,"primamuslima",8171,2087,0
13,"TEDxStuttgart",1127,143,0
14,"doandlive",285,82,0
15,"sandhu_hdm",564,13,0
16,"WebRobin",188,1169,0
17,"methodenkritik",2753,2038,0
18,"SWStuttgart",561,209,0
19,"Fluffynov",21,294,0
20,"pr_parcours",449,5,0
21,"AP_079",53,157,0
22,"MediapubHdM",152,253,0
23,"23_MargaritaF",65,154,0
24,"Josie_Th",67,114,0
25,"KrollWibke",103,111,0
26,"vanessa_krug",44,83,0
27,"DianaOlbrich",52,84,0
28,"ValentinaKress",144,149,0
29,"MarvinGraewert",227,303,0
30,"IsabelleJentner",72,201,0
31,"olikube",269,192,0
32,"KatiNoebauer",144,61,0
33,"JannikaQuaas",120,339,0
34,"alinespantig",211,919,0
35,"ARfx15",45,243,0
36,"HdM_Conmedia",36,73,0
37,"anuschatz",90,379,0
38,"jazz_meyer",29,62,0
39,"katja_sta",22,85,0
40,"goetz_sina",82,444,0
41,"unboundedam",77,60,0
42,"hdm_praktisch",222,28,0
43,"LonginPaula",58,98,0
44,"buddes_",165,716,0
45,"simonwoerz",560,1380,0
46,"breiteli",40,70,0
47,"Luke_Z04",50,338,0
48,"anna_elhi412",43,242,0
49,"PR_in_Stuttgart",118,32,0
50,"nadja_maur",16,39,0
51,"cestlepapillon",22,77,0
52,"el_merkle",23,26,0
53,"HfnrVanessa",15,52,0
54,"JayRumblez",8,0,0
55,"edit_magazin",376,214,0
